      base	    result	  time(us)	Correct
         1	         1	         0	      Y
         2	         1	         1	      Y
         4	         2	         1	      Y
        15	         3	         1	      Y
       798	        28	         1	      Y
      2194	        46	         0	      Y
     38024	       194	         0	      Y
    946232	       972	         3	      Y
   2819041	      1679	         4	      Y
  56923425	      7544	        22	      Y
 476525349	     21829	        63	      Y
2147395599	     46339	       134	      Y
